#Alpha_N	lambda_HQ_Alpha
3.078505522954555e-05	2.624349275692074
3.202142564890963e-05	2.628675826206483
3.218627367676226e-05	2.639008662203292
3.103232982394183e-05	2.642940208467519
3.029050859337032e-05	2.653123215542351
3.045535662122295e-05	2.669639584600848
3.029050859337032e-05	2.684040175471292
2.996080998504773e-05	2.704597057512813
2.971353539065144e-05	2.723106265038247
2.954868736279881e-05	2.749873745687193
3.004323399897404e-05	2.770566835916298
3.094990581001552e-05	2.789266735410539
3.218627367676226e-05	2.80389905637602
3.334021752958268e-05	2.818517580262233
3.465900941025574e-05	2.829041107806023
3.606022785747244e-05	2.847822908473325
3.77087183464681e-05	2.862523157187723
3.902751277975849e-05	2.875107980403818
4.026388064650522e-05	2.889740125024424
4.141782449932565e-05	2.896114173288219
4.232449503405845e-05	2.906569773294006
4.347843888687888e-05	2.925310534991427
4.356086417711387e-05	2.939752164620839
4.298389225070365e-05	2.962329126808997
4.215964572989716e-05	2.974559808189002
4.199479642573586e-05	2.991021517754138
4.232449503405845e-05	3.009626247608852
4.306631626462997e-05	3.024176667401272
4.405541081328909e-05	3.038767949607785
4.512693065218321e-05	3.05337302910448
4.611602520084233e-05	3.063842073499785
4.702269573557513e-05	3.07841991131678
4.776451696614665e-05	3.086786974392388
4.784694098007296e-05	3.099167308560408
4.718754503973643e-05	3.11142505548615
4.644572380916493e-05	3.125730476717066
4.611602520084233e-05	3.140103825696898
4.661057311332623e-05	3.152552440514497
4.768209167591166e-05	3.163035105644195
4.858876221064447e-05	3.171429410399502
4.933058344121598e-05	3.181857592380714
4.97427060634649e-05	3.202537061875425
4.933058344121598e-05	3.212774552309655
4.858876221064447e-05	3.225018854634967
4.776451696614665e-05	3.233127122069801
4.710511974950145e-05	3.245384868784631
4.669299712725254e-05	3.26180589228055
4.652814782309124e-05	3.284450958562498
4.652814782309124e-05	3.300940086152209
4.677542241748752e-05	3.317469900022049
4.710511974950145e-05	3.342257986382663
4.759966766198535e-05	3.367073314633889
4.801179028423426e-05	3.398058378656622
4.825906360232188e-05	3.429016200999656
4.834148889255686e-05	3.457885486623423
4.825906360232188e-05	3.474360993267827
4.825906360232188e-05	3.50115571538556
4.784694098007296e-05	3.527882157064625
4.743481835782405e-05	3.560792131805379
4.743481835782405e-05	3.593770210639925
4.694027044534015e-05	3.624605445529768
4.644572380916493e-05	3.65337956172492
4.628087450500363e-05	3.680147042162953
4.628087450500363e-05	3.700758231218997
4.702269573557513e-05	3.715308827356294
4.768209167591166e-05	3.723662269486595
4.784694098007296e-05	3.74017846241113
4.759966766198535e-05	3.754565432336268
4.694027044534015e-05	3.779190245174475
4.619844921476864e-05	3.799678846777328
4.512693065218321e-05	3.818051846326092
4.438510942161169e-05	3.828234853400923
4.347843888687888e-05	3.838390971485807
4.290146696046867e-05	3.844478982429129
4.306631626462997e-05	3.863056294259268
4.339601487295257e-05	3.877538609957897
4.380813749520147e-05	3.894095665296524
4.438510942161169e-05	3.906558077193392
4.479723204386061e-05	3.925176251437623
4.496208134802191e-05	3.943753563267762
4.471480802993429e-05	3.956079414287296
4.438510942161169e-05	3.968391644361523
4.405541081328909e-05	3.986887583842316
4.364328819104018e-05	4.013614025521381
4.323116556879127e-05	4.032095991578029
4.314874027855628e-05	4.052693912378517
4.306631626462997e-05	4.071230361794564
4.306631626462997e-05	4.08359707522819
4.331358958271758e-05	4.102188007792722
4.356086417711387e-05	4.122840412163522
4.422026011745039e-05	4.137377211010637
4.479723204386061e-05	4.149839270217754
4.52917799563445e-05	4.164348827596083
4.562147728835843e-05	4.185014852490363
4.54566292605058e-05	4.203537681172016
4.512693065218321e-05	4.22821662467987
4.471480802993429e-05	4.263187894671104
4.438510942161169e-05	4.304355789423793
4.430268540768538e-05	4.335259304963216
4.430268540768538e-05	4.357931612924864
4.422026011745039e-05	4.378529181035603
4.372571348127517e-05	4.394936760142004
4.273661765630737e-05	4.413323380214248
4.207722171597084e-05	4.427642246045594
4.11705524575467e-05	4.446042487274057
3.993418203818262e-05	4.468510835222256
3.87802381853622e-05	4.488931332731318
3.795599294086438e-05	4.517650789222196
3.746144630468915e-05	4.552608438479036
3.696689966851392e-05	4.577260140518104
3.671962507411764e-05	4.595769348043538
